category,sec,week,latitude,longitude,lux,accelx,accely,accelz,gyroX,gyroY,gyroZ,decibel,peak,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag0,bssidcnt,rssisum,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi0,inclass
exercise,59475,7,35.57468689,129.18758417,2348.0,-3.0340521,3.9163153,10.753557,-0.51199234,-0.7123951,0.748614,56.1450502520877,1533.0,46000.64715958728,37188.727210983256,10557.03251555412,6112.324554292215,3362.5613775986167,2890.18270172377,1836.1335329333565,1596.7537786184118,1064.4815543623342,1625.6970116232276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exercise,59480,7,35.57399884,129.18778755,1896.0,-3.7960067,3.2680852,11.492766,-1.3202611,-0.15526217,1.3791169,55.818352680314376,2123.0,138613.49714057468,60074.50569236316,22790.101996344896,10357.290634887317,7318.325472800091,4958.633006352861,3427.987401853573,2109.0142629180286,1885.499313580852,1490.5097697223157,41,-567,0,1,2,3,4,5,6,7,8,9,-43,-45,-45,-46,-62,-65,-65,-65,-65,-66,0
exercise,59485,7,35.57388411,129.18769948,3295.0,4.361637,2.835932,3.2980127,1.1580747,-1.1390332,-0.035686333,58.24750653234031,2127.0,241379.0229447406,98539.09216225328,21581.513016078068,9219.280309100206,6587.794023819719,4306.834787660622,2901.947124204421,2182.119805463304,1442.663736330274,1292.969455355454,41,-567,0,1,2,3,4,5,6,7,8,9,-43,-45,-45,-46,-62,-65,-65,-65,-65,-66,0
exercise,59490,7,35.57375466,129.18765095,3694.0,-2.0895395,7.0527196,13.7086,-0.40013966,-0.88576674,-0.3522028,60.9399573583114,2464.0,296642.29751945334,83868.11176827617,30813.352083752405,8487.365273982501,3624.302183516751,2318.329769427002,1673.4699848496994,1222.5829750352352,1163.7473297505749,1884.9754619978207,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59495,7,35.5736105,129.18759718,1565.0,-3.448249,2.3026235,-1.1821371,1.5010896,-0.10319742,0.8468846,53.88602567956517,1070.0,71761.61567983215,16395.9415049936,11442.129488416798,5591.556235841341,4378.518628490668,2499.183820977262,2251.306325362373,1476.09386219176,1506.1288464954714,2086.2046015511864,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59500,7,35.57349303,129.18750191,329.0,-11.946468,3.6445735,1.7663223,-2.3431804,1.8726003,-3.2519836,57.91273059543242,2281.0,229214.1313386187,61206.23144195196,11952.376243218485,6455.801342372758,2572.055247538652,2600.983782602895,2470.513426512435,1418.6196914263537,1569.8512832077884,2374.004225870613,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59505,7,35.57332438,129.18743936,323.0,-15.307328,15.10023,-4.8620253,-2.1889837,-0.6267745,-1.4191974,62.68833962742767,4083.0,721030.9027187777,99169.7237387365,31316.69806526528,19350.24873075956,13235.9707629049,8926.312513868508,6540.769074013867,4699.590141051857,3445.452952708812,3328.478725115816,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59510,7,35.57332438,129.18743936,495.0,-3.942053,14.659697,0.22685061,2.719618,-0.31025803,1.3864406,58.44397921025826,3019.0,287478.0815728854,154699.77372450472,22177.957087550443,11287.814028168084,7522.345173550458,5928.3187875702,3928.488349519958,2803.5488612012487,2278.786075060544,2209.7153558538675,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59515,7,35.57307323,129.18736502,3126.0,-6.673837,1.8740613,-3.5631707,-2.631068,0.19294588,2.6379921,58.84416725003759,2565.0,95772.71085056612,44479.33402643122,14877.91241326867,9177.215905859362,8583.075366556057,4834.138407826909,4680.774475818343,3433.875138710059,2223.994093045161,3188.6012721322545,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59520,7,35.57294915,129.18732602,3314.0,1.6472107,2.0488381,6.1117983,-0.20572904,0.13235901,-0.5392897,55.27296364666129,2290.0,75094.65802237934,25299.44195478553,12928.674925377658,7604.938014053511,5612.540821098294,6091.767694530682,2997.1625353714085,2472.0895024015026,2174.554395934714,5261.483483960984,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59525,7,35.57284608,129.18731887,1959.0,-3.7223852,4.883573,8.511387,0.43902177,-0.2486059,-0.5295692,59.52601877577842,5535.0,264597.2597130234,68923.99915995341,48801.68691175465,25238.469973090458,28754.514436764177,33503.96149205256,21993.94923317386,22266.977501678008,8081.477045695605,3263.5872560084727,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59531,7,35.57271883,129.18726624,3805.0,-0.88286185,4.355053,9.439739,-1.4518212,0.7632614,-0.06910898,55.32860882760359,1616.0,166959.96092045266,49064.230294470544,27801.158357011765,10451.430735755366,9103.02946038365,6505.24964052058,4863.290108245822,4038.432863048038,2678.351204508493,2873.175239442715,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59536,7,35.5725969,129.18720263,3631.0,1.5113398,4.042011,7.8248496,-0.044607915,-0.3553986,-0.09867004,69.89394547987513,5172.0,426647.8341652503,176002.059013282,73994.96005025579,43143.12880115516,28992.553451697884,20763.2682178182,14701.831404496064,10923.797082005129,8217.956766435507,6602.851437961589,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59541,7,35.57248786,129.1871545,3749.0,1.9063832,7.307702,6.5684924,-2.8168235,3.5665026,-0.07643267,73.69259640121383,11571.0,50997.43423462205,16388.099806698086,20955.64848430794,12636.62719470066,9755.811910602988,2245.467123902838,1775.6696615298508,1491.9599279507086,1263.7583780730529,1933.3262296342275,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59546,7,35.57238151,129.18710637,3633.0,-3.466804,6.2392898,2.5809495,0.5351618,-0.11331742,0.3585944,80.55596786716956,17397.0,345793.1929642205,77348.32919907472,15373.275723074124,9571.730681313546,6478.569103777252,4565.752033910176,3403.921396561155,2672.5682335595147,2107.8935470296656,2165.446782490609,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59551,7,35.57227819,129.18704524,432.0,3.0023289,12.905346,1.7160441,0.92451566,1.622796,-1.7849824,65.77507839193082,4460.0,211884.36530461584,190988.48921627676,69672.46921097599,40514.57425780062,27829.692796673928,19989.252752887354,13930.94803852616,10207.96370085414,7520.943797678757,5770.871939657787,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59556,7,35.57213988,129.18697193,743.0,2.6222494,9.085996,-0.75477207,3.1989868,1.7604814,-1.4755234,66.4595099377427,10353.0,1504905.6545522667,459687.5555397653,176895.53825302806,53930.37632190387,34930.79233187902,22640.908180776576,16796.00474797621,12082.403415164155,8916.04768361281,7172.035506341038,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59561,7,35.57200467,129.18692298,551.0,-6.2339025,2.1817162,1.1372458,-0.6874945,-0.9089362,2.1607542,49.28709137589634,919.0,91559.44819033178,32285.098472330115,21821.700626449645,5021.562648070249,3134.6211124749702,2359.559663643339,1762.1213647024847,1392.0380617956966,1113.8274131380572,1795.82905524577,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
