category,sec,week,latitude,longitude,lux,accelx,accely,accelz,gyroX,gyroY,gyroZ,decibel,peak,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag0,bssidcnt,rssisum,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi0,inclass
study,8635,7,35.57355915,129.18803466,286.0,0.047285482,0.30286652,9.809045,0.0047936863,-0.0037284228,0.0021305273,30.14736234567374,112.0,9137.394897572029,6506.930685166639,2148.610659444508,503.976688389868,280.72223181997884,264.57814832886567,202.1008529917356,181.07413115994024,271.5572842392489,368.28962879281227,61,-575,0,1,2,3,4,5,6,7,8,9,-54,-54,-57,-58,-58,-58,-59,-59,-59,-59,0
study,8640,7,35.57355915,129.18803466,306.0,0.045489833,0.31483752,9.820416,0.0047936863,-0.003462107,0.002530001,28.744703309120247,103.0,5189.624791046782,3348.368528319531,1455.405195691194,515.7256022915776,306.032619355512,170.5892438523815,151.7631788628231,148.77926996519406,136.8164240145463,147.65533594720816,64,-548,1,10,11,3,2,0,4,6,12,13,-53,-53,-54,-55,-55,-55,-55,-55,-56,-57,0
study,8645,7,35.57359241,129.18797382,306.0,0.046088383,0.31064767,9.81503,0.0047936863,-0.003462107,0.005592634,31.12734292697474,122.0,7108.230425461795,4881.614248052192,1199.1209096496675,462.1896097142339,282.6863611345132,210.19494199602917,170.84343733968072,143.38290809789905,145.38963493596276,209.1573534258032,65,-551,0,1,10,3,2,4,6,11,14,13,-54,-54,-54,-55,-55,-55,-55,-55,-57,-57,0
study,8650,7,35.57361955,129.18793405,316.0,0.046088383,0.31064767,9.815628,0.0042610546,-0.003462107,0.002796317,27.946862008978908,85.0,2085.446470790573,3195.312147206775,1081.371687381522,532.2679466894037,207.09367615116685,212.7672236462915,204.8169727232363,142.32424902004615,145.70996423227894,208.11585553080369,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8655,7,35.57361955,129.18793405,322.0,0.048482586,0.31423897,9.820416,0.0043942127,-0.0035952649,0.0039947387,28.978882312247173,87.0,7658.904888658127,3099.5450761636985,1083.0982380622163,549.1980302982662,300.506078759582,237.3953672784384,192.70941330128585,144.42779441307167,151.7889821010862,151.83917318011729,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8660,7,35.57361955,129.18793405,328.0,0.048482586,0.30107087,9.824607,0.0042610546,-0.0035952649,0.0051931604,30.46621003566653,103.0,8971.198153997964,2156.750348155408,1525.4953820572746,521.276776182747,236.8890099460116,214.37585070958093,196.35754568438844,146.16818326748074,182.41922980555407,208.4493297118974,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8665,7,35.57361955,129.18793405,329.0,0.05327099,0.29029694,9.820416,0.0051931604,-0.0030626329,-0.0011984216,27.47657991836642,81.0,9203.9846383678,3961.288456580255,1440.2247271861524,847.8381681630884,362.8302853405691,314.1107487034526,220.2409080446652,186.840259362852,179.7384100706397,259.9071148157697,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8670,7,35.57361955,129.18793405,320.0,0.048482586,0.31004912,9.8198185,0.0047936863,-0.0030626329,0.0035952649,30.254754784213503,87.0,12029.20605154124,2840.7642813578123,1972.1164442149084,538.3378461170055,333.3436086495741,235.8736150046351,192.91472904649467,186.4000303476963,154.03713790045273,134.96431350329277,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8675,7,35.57361955,129.18793405,331.0,0.050876785,0.29927522,9.822811,0.0037284228,-0.002929475,0.0013315795,28.627579458982478,76.0,9816.01617308854,5067.347208304494,1144.619127403471,943.8189746974372,501.1729022848656,352.64875136487024,300.005104964233,213.4307037692105,201.22414960889705,188.00455876386243,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
study,8680,7,35.57361955,129.18793405,333.0,0.053869538,0.29987377,9.820416,0.0042610546,-0.003462107,0.0042610546,31.037607824852884,124.0,6928.562778344008,2174.485161322217,3156.393279667001,1520.3393663464058,719.1759131675981,843.3932281505291,642.4486780043356,462.1440869326382,191.21020357165236,363.0152320224758,54,-560,0,11,1,10,3,2,4,6,5,7,-53,-54,-55,-55,-56,-56,-56,-57,-59,-59,0
