category,sec,week,latitude,longitude,lux,accelx,accely,accelz,gyroX,gyroY,gyroZ,decibel,peak,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag0,bssidcnt,rssisum,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi0,inclass
study,76009,7,35.57438905,129.18945879,392.0,0.0,0.0,0.0,0.00039947388,-0.00079894776,-0.00079894776,36.46329564607527,173.0,11642.689853593727,7547.61702576497,1333.7870484567818,920.3284596335476,729.5120202778472,296.8709860894725,330.8714335201931,237.49832414512085,350.355141482234,247.8524151129239,62,-560,0,1,2,3,4,5,6,7,8,9,-51,-52,-52,-52,-56,-57,-58,-58,-61,-63,0
study,76015,7,35.57438905,129.18945879,392.0,0.0,0.0,0.0,0.00013315796,-0.0010652636,-0.0019973693,34.9344879251193,151.0,18950.837871229607,3067.498632113592,2632.01071444031,1390.8111372687854,1131.8966051346035,654.8649460214186,563.5770589462238,359.1198160799171,287.33389437851866,302.8539739734504,53,-590,8,10,7,5,11,4,12,6,13,14,-57,-58,-58,-58,-59,-59,-59,-59,-61,-62,0
study,76020,7,35.57438905,129.18945879,390.0,0.0,0.0,0.0,0.00066578976,-0.0010652636,0.0035952649,36.04574550197705,190.0,9305.29656065232,6368.946761853934,2411.2595661092764,1266.8777931906277,590.4864943205489,547.4391823013498,335.99950404752093,226.2985773662872,217.60507797408488,379.9464595058697,63,-578,0,2,1,3,6,7,11,13,4,8,-56,-56,-57,-57,-58,-58,-59,-59,-59,-59,0
study,76025,7,35.57438905,129.18945879,388.0,0.0,0.0,0.0,0.0005326318,-0.0010652636,0.0030626329,36.38503909243479,266.0,11472.401698931151,6011.4006385854445,3384.2047371193366,1166.261691257598,573.3170585516175,413.0639363357356,324.3562206692126,221.57330845881728,282.9619302207773,267.62160303814835,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76030,7,35.57366582,129.18788477,388.0,0.0,0.0,0.0,0.00039947388,-0.0010652636,0.0013315795,38.27645851941396,300.0,11188.569716920392,6347.719796212144,1978.848945465851,1099.078999661671,630.1795300159948,537.9377343066463,666.7266586666024,712.3537773489842,487.59426059339705,875.2726208108438,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76035,7,35.57366582,129.18788477,388.0,0.0,0.0,0.0,0.00079894776,-0.0005326318,0.0018642114,41.64440998168167,385.0,17415.473733891737,6908.121769263135,1872.4554912601827,793.8505087021335,611.0300470451998,433.5880142279093,269.89806798724726,285.846516598818,414.547613479944,866.2554352670113,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76040,7,35.57366582,129.18788477,388.0,0.0,0.0,0.0,0.0014647375,-0.0011984216,-0.0039947387,40.2451028014378,300.0,17155.47187249433,10203.978039146396,2835.987032320601,1845.606002047188,1511.7999921225246,752.0231040622577,515.1213782577321,411.0853221732516,276.0335122209528,389.11995326089306,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76045,7,35.57366582,129.18788477,396.0,0.0,0.0,0.0,0.0019973693,-0.00066578976,-0.0013315795,40.69334983142201,272.0,17621.948252094717,10270.582785846063,4434.972991248835,2611.1949809687785,1350.477038554484,1014.225958494023,794.6126544535593,572.3244368709942,435.4222159243376,411.66420477471047,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76050,7,35.57366582,129.18788477,342.0,0.0,0.0,0.0,0.0009321057,-0.00066578976,-0.0011984216,38.71605997070863,255.0,20307.821706851348,5423.928143617826,2930.8382161199843,1629.9118634544102,1075.7530144819705,780.435530729158,499.8430124664284,435.4511783245032,811.7060269827756,1344.1638309910209,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76055,7,35.57366582,129.18788477,430.0,0.0,0.0,0.0,0.0009321057,-0.0013315795,-0.0017310535,40.179287794245326,241.0,17213.305698166936,11875.23874077151,4376.015093796357,2488.911962512875,2406.2792184189248,1219.43322292754,944.9694571178384,745.7123815677576,562.4262237814045,763.2149165054519,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76060,7,35.57369392,129.18779126,438.0,0.0,0.0,0.0,0.00013315796,-0.0009321057,0.002663159,39.604068402556784,291.0,18003.036848847005,7573.491089681112,3784.740307043483,2404.710812710013,1131.723028088535,563.9828188932457,445.9144307359825,432.2179811981185,476.81817372973904,945.6936242787532,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76065,7,35.57369392,129.18779126,420.0,0.0,0.0,0.0,0.0009321057,-0.0011984216,0.002663159,37.670183251759454,240.0,8710.730301926325,5886.940338083774,2944.955197812012,1352.8859699058494,962.3218544944432,512.8724954651119,329.2288360771591,281.70345144586975,314.06900206410216,795.2503335339286,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76070,7,35.57369392,129.18779126,416.0,0.0,0.0,0.0,-0.0010652636,-0.00079894776,-0.0043942127,38.99189853690139,250.0,11844.21541361096,5738.6654284424285,2036.8518546406824,873.7378716156098,678.2594558669725,316.6894922695424,320.6662156459892,284.1354950518977,168.99791303877458,302.1955728673012,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76075,7,35.57337606,129.18774571,410.0,0.0,0.0,0.0,0.0015978955,-0.0011984216,-0.002530001,38.53445348924519,225.0,13342.103539251651,3837.459414333801,2199.27630966088,611.9422326942035,763.8011874043904,341.54209015272085,238.0150871184958,190.5341262606497,173.99066905011225,232.02270700971135,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76080,7,35.57337606,129.18774571,426.0,0.0,0.0,0.0,0.0010652636,-0.0005326318,0.0013315795,39.27948457039983,251.0,19517.657614562104,9735.520580833432,2724.853745471938,633.2456603562457,785.2762742794777,427.6112927203237,276.6247458704349,228.7611151763673,366.9701535141284,416.34795788193577,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76085,7,35.57337606,129.18774571,414.0,0.0,0.0,0.0,0.0010652636,-0.0005326318,-0.0002663159,38.88005627330824,189.0,10156.747482562423,9174.243472893915,3023.886727878389,1632.200582923674,915.200907764282,558.4918702099235,399.1446426364028,312.91965570703087,255.47615858411345,257.9382777457074,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76090,7,35.57337606,129.18774571,408.0,0.0,0.0,0.0,0.0002663159,-0.00066578976,0.0023968432,40.02509041018496,264.0,7018.623204813347,7490.987293639734,2420.421980086854,1179.031980228654,949.1151933521472,430.9695398846475,364.8836530025957,336.6620637947423,342.57361734239174,419.8946824531752,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76095,7,35.57337606,129.18774571,418.0,0.0,0.0,0.0,0.00013315796,-0.0014647375,-0.0010652636,39.27419589755208,245.0,10202.682453198886,12769.11238138892,4991.658797324944,2232.0315512134225,1554.4428364462883,1218.0822389683576,942.5982562949198,742.4137488962222,517.9674331088183,653.9242702785082,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76100,7,35.57337606,129.18774571,434.0,0.0,0.0,0.0,0.0010652636,-0.0013315795,0.0043942127,42.83191083501397,392.0,19700.593477838585,9080.675764747244,3976.2292811384714,1640.2384836670208,1370.5993387151902,800.0484333107111,670.3234085995394,436.8874376298418,379.6123667384536,411.6639672818108,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76105,7,35.57337606,129.18774571,420.0,0.0,0.0,0.0,0.0009321057,-0.0010652636,-0.002929475,41.70601963586066,392.0,12696.855481907682,5199.266209867627,2041.842118653024,996.838136878528,658.7409363582987,423.04925009282414,349.33101267477525,281.4171077156995,305.4074064745772,553.7610973673915,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76110,7,35.57337606,129.18774571,404.0,0.0,0.0,0.0,0.00013315796,-0.0011984216,-0.0061252657,45.001289312905584,1827.0,17824.352547784438,10824.701367408645,4024.361464561941,2406.836364219703,1797.9192408869496,728.5987231302562,1228.766418886626,1003.1635116570974,1142.163696181586,4762.6505818234455,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76115,7,35.57337606,129.18774571,400.0,0.0,0.0,0.0,0.0010652636,-0.0015978955,-0.0038615807,41.62911710802887,777.0,7359.792768260151,8848.74800402141,1665.3513784648178,918.5676488375792,1012.4833687078412,430.1776129341246,469.8921762769849,319.8709388284884,280.8120088232882,341.66025938332723,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76120,7,35.57337606,129.18774571,398.0,0.0,0.0,0.0,0.0018642114,-0.0013315795,-0.0014647375,40.98058162599113,392.0,12948.688589583771,6434.579976217756,4074.61675053794,3012.1283000378085,2122.333860925464,2008.9921220636409,1810.1200566834375,2293.910867582313,2168.629338960396,2353.409530772518,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76125,7,35.57337606,129.18774571,412.0,0.0,0.0,0.0,0.00013315796,-0.0011984216,0.002796317,41.62545846376478,660.0,16672.6157402804,4794.532944209331,2442.309953429902,1089.9236301927358,860.8164949549708,707.0423618599722,720.3391021935194,741.3067007504777,854.1399472732408,1445.3189127732517,60,-568,0,1,2,3,4,12,7,11,13,5,-55,-56,-56,-56,-57,-57,-57,-58,-58,-58,0
study,76130,7,35.57337606,129.18774571,408.0,0.0,0.0,0.0,0.00066578976,-0.0011984216,0.0021305273,40.16810073552407,318.0,6581.136619994844,9677.871242862817,2795.7794813309088,1296.7435045036416,772.118031642848,598.7423238504081,410.2633097491964,338.0341613246612,283.13287014730133,522.9752977978125,59,-572,4,6,7,5,9,15,1,2,3,16,-55,-55,-56,-56,-57,-58,-58,-58,-58,-61,0
study,76135,7,35.57337606,129.18774571,408.0,0.0,0.0,0.0,0.0009321057,-0.0015978955,0.0054594763,39.60568158605777,284.0,3311.204387550403,6966.068605014814,2942.7455976741094,1169.6136713519477,914.1961590204636,416.31333805243554,369.9808726728385,318.1935220721997,279.9401330961815,256.4776427836913,48,-594,6,7,4,5,9,15,17,18,16,14,-56,-57,-58,-58,-58,-59,-59,-63,-63,-63,0
study,76140,7,35.57337606,129.18774571,406.0,0.0,0.0,0.0,0.0005326318,-0.0017310535,0.0042610546,42.023105534739614,282.0,10689.036161683358,6983.11917164142,2298.7610151423733,810.1305935319091,581.3229520871517,491.0339888713539,180.07657555340035,176.31654600732423,202.68010038070625,230.61827025263716,61,-577,4,5,7,15,6,0,2,3,9,19,-53,-56,-57,-58,-58,-58,-58,-58,-60,-61,0
study,76145,7,35.57337606,129.18774571,398.0,0.0,0.0,0.0,0.0011984216,-0.0014647375,0.0014647375,41.49343476338767,481.0,4356.013377769936,6183.762070513127,3025.1427580327736,1283.152498280227,815.6470955219396,764.0279064902132,524.7175028695294,354.5120205531884,284.9129178970044,335.1751339236071,54,-599,4,6,5,0,3,7,2,1,19,18,-58,-58,-58,-59,-59,-60,-60,-62,-62,-63,0
study,76150,7,35.57337606,129.18774571,404.0,0.0,0.0,0.0,0.0009321057,-0.0009321057,0.0002663159,38.30901894785295,295.0,13279.28580725471,6493.195926822057,2023.0792498116523,825.4051515482953,692.320921462593,381.5182593546801,251.0792733562444,238.4655924660368,211.14114144239247,451.97930440800906,54,-599,4,6,5,0,3,7,2,1,19,18,-58,-58,-58,-59,-59,-60,-60,-62,-62,-63,0
study,76155,7,35.57337606,129.18774571,404.0,0.0,0.0,0.0,0.00079894776,-0.0017310535,0.0047936863,40.99866199041597,318.0,15986.75700739424,9757.066607282806,2351.3738397863403,1566.228998786885,959.9487288110688,647.5713529913381,376.6577100715167,370.8295803765226,429.4567195019406,1053.099829836298,54,-599,4,6,5,0,3,7,2,1,19,18,-58,-58,-58,-59,-59,-60,-60,-62,-62,-63,0
study,76160,7,35.57349122,129.18772522,412.0,0.0,0.0,0.0,0.00079894776,-0.0011984216,-0.00013315796,40.26520371579272,664.0,6980.330334648866,5767.545267761021,2088.604029367571,1184.9085545132084,831.2647456909921,462.6271292328844,557.1043183882578,294.34204824169217,400.7822374784358,428.8301159468767,54,-599,4,6,5,0,3,7,2,1,19,18,-58,-58,-58,-59,-59,-60,-60,-62,-62,-63,0
study,76166,7,35.57349122,129.18772522,430.0,0.0,0.0,0.0,-0.0005326318,-0.0013315795,0.0049268445,40.40655276857408,570.0,2644.91024439634,6908.119567128761,3737.294601344547,1348.746905945055,1165.0507993580811,662.5131168822902,692.5539077834785,954.6044915432756,1246.7078483318426,2530.8497462554133,54,-599,4,6,5,0,3,7,2,1,19,18,-58,-58,-58,-59,-59,-60,-60,-62,-62,-63,0
